day;hour;value
1;0;7
1;1;7
1;2;7
1;3;7
1;4;7
1;5;7
1;6;7
1;7;8
1;8;12
1;9;10
1;10;10
1;11;11
1;12;10
1;13;10
1;14;20
1;15;39
1;16;20
1;17;12
1;18;13
1;19;9
1;20;9
1;21;10
1;22;11
1;23;9
2;0;8
2;1;8
2;2;11
2;3;8
2;4;8
2;5;8
2;6;8
2;7;8
2;8;9
2;9;10
2;10;13
2;11;13
2;12;17
2;13;22
2;14;30
2;15;22
2;16;18
2;17;17
2;18;13
2;19;18
2;20;14
2;21;10
2;22;10
2;23;9
3;0;9
3;1;9
3;2;9
3;3;9
3;4;8
3;5;8
3;6;7
3;7;12
3;8;8
3;9;9
3;10;12
3;11;14
3;12;23
3;13;11
3;14;21
3;15;27
3;16;20
3;17;9
3;18;10
3;19;9
3;20;7
3;21;7
3;22;7
3;23;6
4;0;6
4;1;6
4;2;6
4;3;6
4;4;6
4;5;6
4;6;6
4;7;6
4;8;31
4;9;31
4;10;17
4;11;20
4;12;26
4;13;22
4;14;19
4;15;21
4;16;21
4;17;20
4;18;16
4;19;13
4;20;14
4;21;9
4;22;9
4;23;9
5;0;9
5;1;9
5;2;9
5;3;9
5;4;9
5;5;9
5;6;10
5;7;9
5;8;9
5;9;16
5;10;19
5;11;17
5;12;22
5;13;23
5;14;27
5;15;22
5;16;21
5;17;17
5;18;17
5;19;15
5;20;16
5;21;24
5;22;21
5;23;15
6;0;15
6;1;15
6;2;11
6;3;11
6;4;11
6;5;12
6;6;11
6;7;11
6;8;11
6;9;10
6;10;9
6;11;9
6;12;10
6;13;9
6;14;10
6;15;10
6;16;10
6;17;9
6;18;9
6;19;10
6;20;8
6;21;8
6;22;8
6;23;8
7;0;8
7;1;8
7;2;8
7;3;8
7;4;8
7;5;8
7;6;8
7;7;8
7;8;8
7;9;8
7;10;8
7;11;8
7;12;8
7;13;8
7;14;8
7;15;7
7;16;7
7;17;7
7;18;7
7;19;7
7;20;7
7;21;7
7;22;7
7;23;7
